"County","County Number","Legislative District","Precinct Number","Polling Location","Address","City","State","Zip Code","Polling Hours","County Auditor Phone"
"Benson","03","09","05","Warwick Public School","210 4th Ave","Warwick","ND","58381"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","01","Benson County Courthouse","311 B Ave S","Minnewaukan","ND","58351"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","01","Ft. Totten Community Center","816 3rd Ave. N","Fort Totten","ND","58335"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","01","Warwick Public School","210 4th Ave","Warwick","ND","58381"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","02","Benson County Courthouse","311 B Ave S","Minnewaukan","ND","58351"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","02","Ft. Totten Community Center","816 3rd Ave. N","Fort Totten","ND","58335"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","02","Warwick Public School","210 4th Ave","Warwick","ND","58381"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","03","Benson County Courthouse","311 B Ave S","Minnewaukan","ND","58351"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","03","Ft. Totten Community Center","816 3rd Ave. N","Fort Totten","ND","58335"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","14","03","Warwick Public School","210 4th Ave","Warwick","ND","58381"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Billings","04","39","01","Billings County Courthouse (Vote Center)","495 4th Street","Medora","ND","58645"," 9:00AM-7:00PM","(701) 623-4377 Ext. "
"Billings","04","39","01","Fairfield Fire Hall (Vote Center)","12823 20TH Street SW","Fairfield","ND","58627"," 9:00AM-7:00PM","(701) 623-4377 Ext. "
"Billings","04","39","02","Billings County Courthouse (Vote Center)","495 4th Street","Medora","ND","58645"," 9:00AM-7:00PM","(701) 623-4377 Ext. "
"Billings","04","39","02","Fairfield Fire Hall (Vote Center)","12823 20TH Street SW","Fairfield","ND","58627"," 9:00AM-7:00PM","(701) 623-4377 Ext. "
"Billings","04","39","03","Billings County Courthouse (Vote Center)","495 4th Street","Medora","ND","58645"," 9:00AM-7:00PM","(701) 623-4377 Ext. "
"Billings","04","39","03","Fairfield Fire Hall (Vote Center)","12823 20TH Street SW","Fairfield","ND","58627"," 9:00AM-7:00PM","(701) 623-4377 Ext. "
"Bottineau","05","06","01","Bottineau County Courthouse","314 5th St W. ","Bottineau","ND","58318"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","01","Lansford Mall","711 Main St","Lansford","ND","58750"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","01","Westhope City Hall ","95 1st Ave W","Westhope","ND","58793"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","02","Bottineau County Courthouse","314 5th St W. ","Bottineau","ND","58318"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","02","Lansford Mall","711 Main St","Lansford","ND","58750"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","02","Westhope City Hall ","95 1st Ave W","Westhope","ND","58793"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","03","Bottineau County Courthouse","314 5th St W. ","Bottineau","ND","58318"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","03","Lansford Mall","711 Main St","Lansford","ND","58750"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","03","Westhope City Hall ","95 1st Ave W","Westhope","ND","58793"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","04","Bottineau County Courthouse","314 5th St W. ","Bottineau","ND","58318"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","04","Lansford Mall","711 Main St","Lansford","ND","58750"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","04","Westhope City Hall ","95 1st Ave W","Westhope","ND","58793"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","05","Bottineau County Courthouse","314 5th St W. ","Bottineau","ND","58318"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","05","Lansford Mall","711 Main St","Lansford","ND","58750"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bottineau","05","06","05","Westhope City Hall ","95 1st Ave W","Westhope","ND","58793"," 8:00AM-7:00PM","(701) 228-2225 Ext. "
"Bowman","06","39","01","Bowman City Hall","104 1st St NE","Bowman","ND","58623"," 7:00AM-7:00PM","(701) 523-3130 Ext. "
"Bowman","06","39","02"," Bowman Four Seasons Bld","12 Hwy 12 East","Bowman","ND","58623"," 7:00AM-7:00PM","(701) 523-3130 Ext. "
"Bowman","06","39","03","Rhame Legion Building","53 Main Street","Rhame","ND","58651"," 7:00AM-7:00PM","(701) 523-3130 Ext. "
"Bowman","06","39","04","Scranton Community Center","104 Main St","Scranton","ND","58653"," 7:00AM-7:00PM","(701) 523-3130 Ext. "
"Burke","07","02","01","Burke County Courthouse ","103 Main Street SE","Bowbells","ND","58721"," 9:00AM-7:00PM","(701) 377-2861 Ext. "
"Burke","07","02","02","Burke County Courthouse ","103 Main Street SE","Bowbells","ND","58721"," 9:00AM-7:00PM","(701) 377-2861 Ext. "
"Burke","07","02","03","Burke County Courthouse ","103 Main Street SE","Bowbells","ND","58721"," 9:00AM-7:00PM","(701) 377-2861 Ext. "
"Burke","07","02","04","Burke County Courthouse ","103 Main Street SE","Bowbells","ND","58721"," 9:00AM-7:00PM","(701) 377-2861 Ext. "
"Burke","07","02","05","Burke County Courthouse ","103 Main Street SE","Bowbells","ND","58721"," 9:00AM-7:00PM","(701) 377-2861 Ext. "
"Burke","07","02","06","Burke County Courthouse ","103 Main Street SE","Bowbells","ND","58721"," 9:00AM-7:00PM","(701) 377-2861 Ext. "
"Burleigh","08","07","01","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","01","Liberty Elementary School","5400 Onyx Dr","Bismarck ","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","02","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","02","Liberty Elementary School","5400 Onyx Dr","Bismarck ","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","03","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","03","Sunrise Elementary School","3800 Nickerson Ave","Bismarck","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","04","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","04","East Auditorum (fka: The Element)","3220 N 19th Street","Bismarck","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","05","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","07","05","Sunrise Elementary School","3800 Nickerson Ave","Bismarck","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","01","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","01","Wilton County Shop","30300 93rd St NE","Wilton","ND","58579"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","02","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","02","Liberty Elementary School","5400 Onyx Dr","Bismarck ","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","03","4H Building","3715 E Bismarck Expressway","Bismarck","ND","58501"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","03","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","04","4H Building","3715 E Bismarck Expressway","Bismarck","ND","58501"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","04","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","05","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","05","Lincoln Elementary School","3320 McCurry Way","Lincoln","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","06","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","08","06","Menoken School","412 Bismarck St N","Menoken","ND","58558"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","14","01","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","14","01","Wilton County Shop","30300 93rd St NE","Wilton","ND","58579"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","14","02","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","14","02","Wing Fire Hall","4 Second Ave W","Wing","ND","58494"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","14","03","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","14","03","Sterling School","118 McKenzie St","Sterling","ND","58572"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","30","01","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","30","01","United Tribes Technical College-Skills Center","3315 University Dr","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","30","02","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","30","02","United Tribes Technical College-Skills Center","3315 University Dr","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","30","03","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","30","03","Lord of Life Lutheran Church","1143 N 26th St","Bismarck","ND","58501"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","30","04","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","30","04","Solheim Elementary School","325 Munich Dr","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","32","01","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","32","02","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","32","03","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","32","05","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","35","01","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","35","01","Grimsrud Elementary School","716 W St Benedict Dr","Bismarck","ND","58501"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","35","02","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","35","02","Good Shepherd Church","106 Osage Ave ","Bismarck","ND","58501"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","35","03","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","35","03","Hillside Aquatic Complex","1719 E Boulevard Ave","Bismarck","ND","58501"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","35","04","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","35","04","Hillside Aquatic Complex","1719 E Boulevard Ave","Bismarck","ND","58501"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","47","01","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","47","01","Century Baptist Church","205 Colt Ave","Bismarck ","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","47","02","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","47","02","GracePoint Church","205 43rd Ave NE","Bismarck ","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","47","03","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","47","03","GracePoint Church","205 43rd Ave NE","Bismarck ","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","47","04","Bismarck Event Center-Main Arena","315 South 5th Street","Bismarck","ND","58504"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Burleigh","08","47","04","Century Baptist Church","205 Colt Ave","Bismarck ","ND","58503"," 7:00AM-7:00PM","(701) 222-6718 Ext. "
"Cass","09","10","01","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","01","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","02","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","10","03","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","11","01","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","11","01","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","11","01","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
